	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
19	34040	Lec	A	4	BERG, A.	TuTh 11:00-12:20p	ICS 174	TBA	75	60	0	82	0	A and J	Bookstore		OPEN
20																	
21	CompSci 121 INFRMTION RETRIEVAL (Prerequisites)	CompSci 121 INFRMTION RETRIEVAL (Prerequisites)	CompSci 121 INFRMTION RETRIEVAL (Prerequisites)	CompSci 121 INFRMTION RETRIEVAL (Prerequisites)	CompSci 121 INFRMTION RETRIEVAL (Prerequisites)	CompSci 121 INFRMTION RETRIEVAL (Prerequisites)	CompSci 121 INFRMTION RETRIEVAL (Prerequisites)	CompSci 121 INFRMTION RETRIEVAL (Prerequisites)	CompSci 121 INFRMTION RETRIEVAL (Prerequisites)	CompSci 121 INFRMTION RETRIEVAL (Prerequisites)	CompSci 121 INFRMTION RETRIEVAL (Prerequisites)	CompSci 121 INFRMTION RETRIEVAL (Prerequisites)	CompSci 121 INFRMTION RETRIEVAL (Prerequisites)	CompSci 121 INFRMTION RETRIEVAL (Prerequisites)	CompSci 121 INFRMTION RETRIEVAL (Prerequisites)	CompSci 121 INFRMTION RETRIEVAL (Prerequisites)	CompSci 121 INFRMTION RETRIEVAL (Prerequisites)
22	Code	Type	Sec	Units	Instructor	Time	Place	Final	Max	Enr	WL	Req	Nor	Rstr	Textbooks	Web	Status
23	34050	Lec	A	4	LOPES, C.	TuTh 3:30- 4:50p	HG 1800	TBA	130	52 / 70	19	240	60	A and N	Bookstore		NewOnly
24			(same as 36190 In4matx 141, Lec A)	(same as 36190 In4matx 141, Lec A)	(same as 36190 In4matx 141, Lec A)	(same as 36190 In4matx 141, Lec A)	(same as 36190 In4matx 141, Lec A)	(same as 36190 In4matx 141, Lec A)	(same as 36190 In4matx 141, Lec A)	(same as 36190 In4matx 141, Lec A)	(same as 36190 In4matx 141, Lec A)	(same as 36190 In4matx 141, Lec A)	(same as 36190 In4matx 141, Lec A)	(same as 36190 In4matx 141, Lec A)	(same as 36190 In4matx 141, Lec A)		
25	(same as 36190 In4matx 141, Lec A)																
26	34051	Dis	1	0	STAFFLOPES, C.	W 3:00- 3:50p	SE2 1304		33	11 / 18	5	44	15	A and N	Bookstore		NewOnly
27			(same as 36191 In4matx 141, Dis 1)	(same as 36191 In4matx 141, Dis 1)	(same as 36191 In4matx 141, Dis 1)	(same as 36191 In4matx 141, Dis 1)	(same as 36191 In4matx 141, Dis 1)	(same as 36191 In4matx 141, Dis 1)	(same as 36191 In4matx 141, Dis 1)	(same as 36191 In4matx 141, Dis 1)	(same as 36191 In4matx 141, Dis 1)	(same as 36191 In4matx 141, Dis 1)	(same as 36191 In4matx 141, Dis 1)	(same as 36191 In4matx 141, Dis 1)	(same as 36191 In4matx 141, Dis 1)		
28	(same as 36191 In4matx 141, Dis 1)																
29	34052	Dis	2	0	STAFFLOPES, C.	W 4:00- 4:50p	SE2 1304		33	17 / 18	5	29	15	A and N	Bookstore		NewOnly
30			(same as 36192 In4matx 141, Dis 2)	(same as 36192 In4matx 141, Dis 2)	(same as 36192 In4matx 141, Dis 2)	(same as 36192 In4matx 141, Dis 2)	(same as 36192 In4matx 141, Dis 2)	(same as 36192 In4matx 141, Dis 2)	(same as 36192 In4matx 141, Dis 2)	(same as 36192 In4matx 141, Dis 2)	(same as 36192 In4matx 141, Dis 2)	(same as 36192 In4matx 141, Dis 2)	(same as 36192 In4matx 141, Dis 2)	(same as 36192 In4matx 141, Dis 2)	(same as 36192 In4matx 141, Dis 2)		
31	(same as 36192 In4matx 141, Dis 2)																
32	34053	Dis	3	0	STAFFLOPES, C.	W 5:00- 5:50p	SE2 1304		32	11 / 17	5	12	15	A and N	Bookstore		NewOnly
33			(same as 36193 In4matx 141, Dis 3)	(same as 36193 In4matx 141, Dis 3)	(same as 36193 In4matx 141, Dis 3)	(same as 36193 In4matx 141, Dis 3)	(same as 36193 In4matx 141, Dis 3)	(same as 36193 In4matx 141, Dis 3)	(same as 36193 In4matx 141, Dis 3)	(same as 36193 In4matx 141, Dis 3)	(same as 36193 In4matx 141, Dis 3)	(same as 36193 In4matx 141, Dis 3)	(same as 36193 In4matx 141, Dis 3)	(same as 36193 In4matx 141, Dis 3)	(same as 36193 In4matx 141, Dis 3)		
34	(same as 36193 In4matx 141, Dis 3)																
35	34054	Dis	4	0	STAFFLOPES, C.	W 6:00- 6:50p	SE2 1304		32	13 / 17	5	19	15	A and N	Bookstore		NewOnly
36			(same as 36194 In4matx 141, Dis 4)	(same as 36194 In4matx 141, Dis 4)	(same as 36194 In4matx 141, Dis 4)	(same as 36194 In4matx 141, Dis 4)	(same as 36194 In4matx 141, Dis 4)	(same as 36194 In4matx 141, Dis 4)	(same as 36194 In4matx 141, Dis 4)	(same as 36194 In4matx 141, Dis 4)	(same as 36194 In4matx 141, Dis 4)	(same as 36194 In4matx 141, Dis 4)	(same as 36194 In4matx 141, Dis 4)	(same as 36194 In4matx 141, Dis 4)	(same as 36194 In4matx 141, Dis 4)		
37	(same as 36194 In4matx 141, Dis 4)																
38																	
39	CompSci 122A INTRO TO DATA MGMT (Prerequisites)	CompSci 122A INTRO TO DATA MGMT (Prerequisites)	CompSci 122A INTRO TO DATA MGMT (Prerequisites)	CompSci 122A INTRO TO DATA MGMT (Prerequisites)	CompSci 122A INTRO TO DATA MGMT (Prerequisites)	CompSci 122A INTRO TO DATA MGMT (Prerequisites)	CompSci 122A INTRO TO DATA MGMT (Prerequisites)	CompSci 122A INTRO TO DATA MGMT (Prerequisites)	CompSci 122A INTRO TO DATA MGMT (Prerequisites)	CompSci 122A INTRO TO DATA MGMT (Prerequisites)	CompSci 122A INTRO TO DATA MGMT (Prerequisites)	CompSci 122A INTRO TO DATA MGMT (Prerequisites)	CompSci 122A INTRO TO DATA MGMT (Prerequisites)	CompSci 122A INTRO TO DATA MGMT (Prerequisites)	CompSci 122A INTRO TO DATA MGMT (Prerequisites)	CompSci 122A INTRO TO DATA MGMT (Prerequisites)	CompSci 122A INTRO TO DATA MGMT (Prerequisites)
40	Code	Type	Sec	Units	Instructor	Time	Place	Final	Max	Enr	WL	Req	Nor	Rstr	Textbooks	Web	Status
41	34070	Lec	A	4	MEHROTRA, S.	TuTh 3:30- 4:50p	EH 1200	TBA	160	90 / 100	2	127	60	A and N	Bookstore		NewOnly
42			(same as 16805 EECS 116, Lec A)	(same as 16805 EECS 116, Lec A)	(same as 16805 EECS 116, Lec A)	(same as 16805 EECS 116, Lec A)	(same as 16805 EECS 116, Lec A)	(same as 16805 EECS 116, Lec A)	(same as 16805 EECS 116, Lec A)	(same as 16805 EECS 116, Lec A)	(same as 16805 EECS 116, Lec A)	(same as 16805 EECS 116, Lec A)	(same as 16805 EECS 116, Lec A)	(same as 16805 EECS 116, Lec A)	(same as 16805 EECS 116, Lec A)		
43	(same as 16805 EECS 116, Lec A)																
44	34071	Dis	A1	0	STAFFMEHROTRA, S.	W 5:00- 5:50p	RH 184		33	17 / 18	1	24	15	A and N	Bookstore		NewOnly
45			(same as 16806 EECS 116, Dis A1)	(same as 16806 EECS 116, Dis A1)	(same as 16806 EECS 116, Dis A1)	(same as 16806 EECS 116, Dis A1)	(same as 16806 EECS 116, Dis A1)	(same as 16806 EECS 116, Dis A1)	(same as 16806 EECS 116, Dis A1)	(same as 16806 EECS 116, Dis A1)	(same as 16806 EECS 116, Dis A1)	(same as 16806 EECS 116, Dis A1)	(same as 16806 EECS 116, Dis A1)	(same as 16806 EECS 116, Dis A1)	(same as 16806 EECS 116, Dis A1)		
46	(same as 16806 EECS 116, Dis A1)																
47	34072	Dis	A2	0	STAFFMEHROTRA, S.	W 6:00- 6:50p	RH 184		33	11 / 18	0	12	15	A and N	Bookstore		NewOnly
48			(same as 16807 EECS 116, Dis A2)	(same as 16807 EECS 116, Dis A2)	(same as 16807 EECS 116, Dis A2)	(same as 16807 EECS 116, Dis A2)	(same as 16807 EECS 116, Dis A2)	(same as 16807 EECS 116, Dis A2)	(same as 16807 EECS 116, Dis A2)	(same as 16807 EECS 116, Dis A2)	(same as 16807 EECS 116, Dis A2)	(same as 16807 EECS 116, Dis A2)	(same as 16807 EECS 116, Dis A2)	(same as 16807 EECS 116, Dis A2)	(same as 16807 EECS 116, Dis A2)		
49	(same as 16807 EECS 116, Dis A2)																
50	34073	Dis	A3	0	STAFFMEHROTRA, S.	Th 7:00- 7:50p	TBA		47	31 / 32	1	33	15	A and N	Bookstore		NewOnly
51			(same as 16808 EECS 116, Dis A3)	(same as 16808 EECS 116, Dis A3)	(same as 16808 EECS 116, Dis A3)	(same as 16808 EECS 116, Dis A3)	(same as 16808 EECS 116, Dis A3)	(same as 16808 EECS 116, Dis A3)	(same as 16808 EECS 116, Dis A3)	(same as 16808 EECS 116, Dis A3)	(same as 16808 EECS 116, Dis A3)	(same as 16808 EECS 116, Dis A3)	(same as 16808 EECS 116, Dis A3)	(same as 16808 EECS 116, Dis A3)	(same as 16808 EECS 116, Dis A3)		
52	(same as 16808 EECS 116, Dis A3)																
53	34074	Dis	A4	0	STAFFMEHROTRA, S.	Th 8:00- 8:50p	DBH 1300		47	31 / 32	0	34	15	A and N	Bookstore		NewOnly
54			(same as 16809 EECS 116, Dis A4)	(same as 16809 EECS 116, Dis A4)	(same as 16809 EECS 116, Dis A4)	(same as 16809 EECS 116, Dis A4)	(same as 16809 EECS 116, Dis A4)	(same as 16809 EECS 116, Dis A4)	(same as 16809 EECS 116, Dis A4)	(same as 16809 EECS 116, Dis A4)	(same as 16809 EECS 116, Dis A4)	(same as 16809 EECS 116, Dis A4)	(same as 16809 EECS 116, Dis A4)	(same as 16809 EECS 116, Dis A4)	(same as 16809 EECS 116, Dis A4)		
55	(same as 16809 EECS 116, Dis A4)																
56	34080	Lec	B	4	MEHROTRA, S.	TuTh 5:00- 6:20p	EH 1200	TBA	180	83 / 100	0	99	60	A and N	Bookstore		OPEN
57			(same as 16815 EECS 116, Lec B)	(same as 16815 EECS 116, Lec B)	(same as 16815 EECS 116, Lec B)	(same as 16815 EECS 116, Lec B)	(same as 16815 EECS 116, Lec B)	(same as 16815 EECS 116, Lec B)	(same as 16815 EECS 116, Lec B)	(same as 16815 EECS 116, Lec B)	(same as 16815 EECS 116, Lec B)	(same as 16815 EECS 116, Lec B)	(same as 16815 EECS 116, Lec B)	(same as 16815 EECS 116, Lec B)	(same as 16815 EECS 116, Lec B)		
58	(same as 16815 EECS 116, Lec B)																
59	34081	Dis	B1	0	STAFFMEHROTRA, S.	M 4:00- 4:50p	TBA		45	17 / 30	0	24	15	A and N	Bookstore		NewOnly
60			(same as 16816 EECS 116, Dis B1)	(same as 16816 EECS 116, Dis B1)	(same as 16816 EECS 116, Dis B1)	(same as 16816 EECS 116, Dis B1)	(same as 16816 EECS 116, Dis B1)	(same as 16816 EECS 116, Dis B1)	(same as 16816 EECS 116, Dis B1)	(same as 16816 EECS 116, Dis B1)	(same as 16816 EECS 116, Dis B1)	(same as 16816 EECS 116, Dis B1)	(same as 16816 EECS 116, Dis B1)	(same as 16816 EECS 116, Dis B1)	(same as 16816 EECS 116, Dis B1)		
61	(same as 16816 EECS 116, Dis B1)																
62	34082	Dis	B2	0	STAFFMEHROTRA, S.	M 5:00- 5:50p	TBA		45	30 / 30	0	32	15	A and N	Bookstore		NewOnly
63			(same as 16817 EECS 116, Dis B2)	(same as 16817 EECS 116, Dis B2)	(same as 16817 EECS 116, Dis B2)	(same as 16817 EECS 116, Dis B2)	(same as 16817 EECS 116, Dis B2)	(same as 16817 EECS 116, Dis B2)	(same as 16817 EECS 116, Dis B2)	(same as 16817 EECS 116, Dis B2)	(same as 16817 EECS 116, Dis B2)	(same as 16817 EECS 116, Dis B2)	(same as 16817 EECS 116, Dis B2)	(same as 16817 EECS 116, Dis B2)	(same as 16817 EECS 116, Dis B2)		
64	(same as 16817 EECS 116, Dis B2)																
65	34083	Dis	B3	0	STAFFMEHROTRA, S.	W 7:00- 7:50p	DBH 1300		45	26 / 30	0	27	15	A and N	Bookstore		NewOnly
66			(same as 16818 EECS 116, Dis B3)	(same as 16818 EECS 116, Dis B3)	(same as 16818 EECS 116, Dis B3)	(same as 16818 EECS 116, Dis B3)	(same as 16818 EECS 116, Dis B3)	(same as 16818 EECS 116, Dis B3)	(same as 16818 EECS 116, Dis B3)	(same as 16818 EECS 116, Dis B3)	(same as 16818 EECS 116, Dis B3)	(same as 16818 EECS 116, Dis B3)	(same as 16818 EECS 116, Dis B3)	(same as 16818 EECS 116, Dis B3)	(same as 16818 EECS 116, Dis B3)		
67	(same as 16818 EECS 116, Dis B3)																
68	34084	Dis	B4	0	STAFFMEHROTRA, S.	W 8:00- 8:50p	DBH 1300		45	10 / 10	0	11	15	A and N	Bookstore		OPEN
69			(same as 16819 EECS 116, Dis B4)	(same as 16819 EECS 116, Dis B4)	(same as 16819 EECS 116, Dis B4)	(same as 16819 EECS 116, Dis B4)	(same as 16819 EECS 116, Dis B4)	(same as 16819 EECS 116, Dis B4)	(same as 16819 EECS 116, Dis B4)	(same as 16819 EECS 116, Dis B4)	(same as 16819 EECS 116, Dis B4)	(same as 16819 EECS 116, Dis B4)	(same as 16819 EECS 116, Dis B4)	(same as 16819 EECS 116, Dis B4)	(same as 16819 EECS 116, Dis B4)		
70	(same as 16819 EECS 116, Dis B4)																
71																	
72	CompSci 122B PROJ DATA&WEB APPS (Prerequisites)	CompSci 122B PROJ DATA&WEB APPS (Prerequisites)	CompSci 122B PROJ DATA&WEB APPS (Prerequisites)	CompSci 122B PROJ DATA&WEB APPS (Prerequisites)	CompSci 122B PROJ DATA&WEB APPS (Prerequisites)	CompSci 122B PROJ DATA&WEB APPS (Prerequisites)	CompSci 122B PROJ DATA&WEB APPS (Prerequisites)	CompSci 122B PROJ DATA&WEB APPS (Prerequisites)	CompSci 122B PROJ DATA&WEB APPS (Prerequisites)	CompSci 122B PROJ DATA&WEB APPS (Prerequisites)	CompSci 122B PROJ DATA&WEB APPS (Prerequisites)	CompSci 122B PROJ DATA&WEB APPS (Prerequisites)	CompSci 122B PROJ DATA&WEB APPS (Prerequisites)	CompSci 122B PROJ DATA&WEB APPS (Prerequisites)	CompSci 122B PROJ DATA&WEB APPS (Prerequisites)	CompSci 122B PROJ DATA&WEB APPS (Prerequisites)	CompSci 122B PROJ DATA&WEB APPS (Prerequisites)
73		No credit is given for CompSci 122B if taken after CompSci 137 or In4matx 124.	No credit is given for CompSci 122B if taken after CompSci 137 or In4matx 124.	No credit is given for CompSci 122B if taken after CompSci 137 or In4matx 124.	No credit is given for CompSci 122B if taken after CompSci 137 or In4matx 124.	No credit is given for CompSci 122B if taken after CompSci 137 or In4matx 124.	No credit is given for CompSci 122B if taken after CompSci 137 or In4matx 124.	No credit is given for CompSci 122B if taken after CompSci 137 or In4matx 124.	No credit is given for CompSci 122B if taken after CompSci 137 or In4matx 124.	No credit is given for CompSci 122B if taken after CompSci 137 or In4matx 124.	No credit is given for CompSci 122B if taken after CompSci 137 or In4matx 124.	No credit is given for CompSci 122B if taken after CompSci 137 or In4matx 124.	No credit is given for CompSci 122B if taken after CompSci 137 or In4matx 124.	No credit is given for CompSci 122B if taken after CompSci 137 or In4matx 124.	No credit is given for CompSci 122B if taken after CompSci 137 or In4matx 124.	No credit is given for CompSci 122B if taken after CompSci 137 or In4matx 124.	
74	No credit is given for CompSci 122B if taken after CompSci 137 or In4matx 124.																
75	Code	Type	Sec	Units	Instructor	Time	Place	Final	Max	Enr	WL	Req	Nor	Rstr	Textbooks	Web	Status
76	34100	Lec	A	4	STAFF	TuTh 5:00- 6:20p	HG 1800	TBA	130	72	0	167	0	A	Bookstore		OPEN
77																	
78	CompSci 132 COMPUTER NETWORKS (Prerequisites)	CompSci 132 COMPUTER NETWORKS (Prerequisites)	CompSci 132 COMPUTER NETWORKS (Prerequisites)	CompSci 132 COMPUTER NETWORKS (Prerequisites)	CompSci 132 COMPUTER NETWORKS (Prerequisites)	CompSci 132 COMPUTER NETWORKS (Prerequisites)	CompSci 132 COMPUTER NETWORKS (Prerequisites)	CompSci 132 COMPUTER NETWORKS (Prerequisites)	CompSci 132 COMPUTER NETWORKS (Prerequisites)	CompSci 132 COMPUTER NETWORKS (Prerequisites)	CompSci 132 COMPUTER NETWORKS (Prerequisites)	CompSci 132 COMPUTER NETWORKS (Prerequisites)	CompSci 132 COMPUTER NETWORKS (Prerequisites)	CompSci 132 COMPUTER NETWORKS (Prerequisites)	CompSci 132 COMPUTER NETWORKS (Prerequisites)	CompSci 132 COMPUTER NETWORKS (Prerequisites)	CompSci 132 COMPUTER NETWORKS (Prerequisites)
79	Code	Type	Sec	Units	Instructor	Time	Place	Final	Max	Enr	WL	Req	Nor	Rstr	Textbooks	Web	Status
80	34120	Lec	A	4	JORDAN, S.	TuTh 2:00- 3:20p	EH 1200	TBA	300	83 / 117	0	112	0	A and N	Bookstore		OPEN
81			(same as 16870 EECS 148, Lec A)	(same as 16870 EECS 148, Lec A)	(same as 16870 EECS 148, Lec A)	(same as 16870 EECS 148, Lec A)	(same as 16870 EECS 148, Lec A)	(same as 16870 EECS 148, Lec A)	(same as 16870 EECS 148, Lec A)	(same as 16870 EECS 148, Lec A)	(same as 16870 EECS 148, Lec A)	(same as 16870 EECS 148, Lec A)	(same as 16870 EECS 148, Lec A)	(same as 16870 EECS 148, Lec A)	(same as 16870 EECS 148, Lec A)		
82	(same as 16870 EECS 148, Lec A)																
83	34121	Dis	1	0	STAFFJORDAN, S.	Tu 5:00- 5:50p	SH 134		75	28 / 38	0	34	0	A and N	Bookstore		OPEN
84			(same as 16871 EECS 148, Dis A1)	(same as 16871 EECS 148, Dis A1)	(same as 16871 EECS 148, Dis A1)	(same as 16871 EECS 148, Dis A1)	(same as 16871 EECS 148, Dis A1)	(same as 16871 EECS 148, Dis A1)	(same as 16871 EECS 148, Dis A1)	(same as 16871 EECS 148, Dis A1)	(same as 16871 EECS 148, Dis A1)	(same as 16871 EECS 148, Dis A1)	(same as 16871 EECS 148, Dis A1)	(same as 16871 EECS 148, Dis A1)	(same as 16871 EECS 148, Dis A1)		
85	(same as 16871 EECS 148, Dis A1)																
86	34122	Dis	2	0	STAFFJORDAN, S.	Tu 6:00- 6:50p	SH 134		75	4 / 10	0	4	0	A and N	Bookstore		OPEN
87			(same as 16872 EECS 148, Dis A2)	(same as 16872 EECS 148, Dis A2)	(same as 16872 EECS 148, Dis A2)	(same as 16872 EECS 148, Dis A2)	(same as 16872 EECS 148, Dis A2)	(same as 16872 EECS 148, Dis A2)	(same as 16872 EECS 148, Dis A2)	(same as 16872 EECS 148, Dis A2)	(same as 16872 EECS 148, Dis A2)	(same as 16872 EECS 148, Dis A2)	(same as 16872 EECS 148, Dis A2)	(same as 16872 EECS 148, Dis A2)	(same as 16872 EECS 148, Dis A2)		
88	(same as 16872 EECS 148, Dis A2)																
89	34123	Dis	3	0	STAFFJORDAN, S.	W 11:00-11:50	SH 174		75	31 / 43	0	34	0	A and N	Bookstore		OPEN
90			(same as 16873 EECS 148, Dis A3)	(same as 16873 EECS 148, Dis A3)	(same as 16873 EECS 148, Dis A3)	(same as 16873 EECS 148, Dis A3)	(same as 16873 EECS 148, Dis A3)	(same as 16873 EECS 148, Dis A3)	(same as 16873 EECS 148, Dis A3)	(same as 16873 EECS 148, Dis A3)	(same as 16873 EECS 148, Dis A3)	(same as 16873 EECS 148, Dis A3)	(same as 16873 EECS 148, Dis A3)	(same as 16873 EECS 148, Dis A3)	(same as 16873 EECS 148, Dis A3)		
91	(same as 16873 EECS 148, Dis A3)																
92	34124	Dis	4	0	STAFFJORDAN, S.	W 12:00-12:50p	SH 174		75	20 / 26	0	28	0	A and N	Bookstore		OPEN
93			(same as 16874 EECS 148, Dis A4)	(same as 16874 EECS 148, Dis A4)	(same as 16874 EECS 148, Dis A4)	(same as 16874 EECS 148, Dis A4)	(same as 16874 EECS 148, Dis A4)	(same as 16874 EECS 148, Dis A4)	(same as 16874 EECS 148, Dis A4)	(same as 16874 EECS 148, Dis A4)	(same as 16874 EECS 148, Dis A4)	(same as 16874 EECS 148, Dis A4)	(same as 16874 EECS 148, Dis A4)	(same as 16874 EECS 148, Dis A4)	(same as 16874 EECS 148, Dis A4)		
94	(same as 16874 EECS 148, Dis A4)																
95																	
96	CompSci 134 COMP&NETWRK SECURTY (Prerequisites)	CompSci 134 COMP&NETWRK SECURTY (Prerequisites)	CompSci 134 COMP&NETWRK SECURTY (Prerequisites)	CompSci 134 COMP&NETWRK SECURTY (Prerequisites)	CompSci 134 COMP&NETWRK SECURTY (Prerequisites)	CompSci 134 COMP&NETWRK SECURTY (Prerequisites)	CompSci 134 COMP&NETWRK SECURTY (Prerequisites)	CompSci 134 COMP&NETWRK SECURTY (Prerequisites)	CompSci 134 COMP&NETWRK SECURTY (Prerequisites)	CompSci 134 COMP&NETWRK SECURTY (Prerequisites)	CompSci 134 COMP&NETWRK SECURTY (Prerequisites)	CompSci 134 COMP&NETWRK SECURTY (Prerequisites)	CompSci 134 COMP&NETWRK SECURTY (Prerequisites)	CompSci 134 COMP&NETWRK SECURTY (Prerequisites)	CompSci 134 COMP&NETWRK SECURTY (Prerequisites)	CompSci 134 COMP&NETWRK SECURTY (Prerequisites)	CompSci 134 COMP&NETWRK SECURTY (Prerequisites)
97	Code	Type	Sec	Units	Instructor	Time	Place	Final	Max	Enr	WL	Req	Nor	Rstr	Textbooks	Web	Status
98	34140	Lec	A	4	CHEN, Q.	TuTh 12:30- 1:50p	ELH 100	TBA	220	105	0	150	0	A	Bookstore		OPEN
99	34141	Dis	1	0	STAFFCHEN, Q.	M 11:00-11:50	ICS 180		55	33	0	32	0	A	Bookstore		OPEN
100	34142	Dis	2	0	STAFFCHEN, Q.	M 12:00-12:50p	ICS 180		55	26	0	33	0	A	Bookstore		OPEN
101	34143	Dis	3	0	STAFFCHEN, Q.	M 1:00- 1:50p	ICS 180		55	18	0	22	0	A	Bookstore		OPEN
102	34144	Dis	4	0	STAFFCHEN, Q.	M 2:00- 2:50p	ICS 180		55	28	0	35	0	A	Bookstore		OPEN
103																	
104	CompSci 141 CONCEPT PGMG LANG I (Prerequisites)	CompSci 141 CONCEPT PGMG LANG I (Prerequisites)	CompSci 141 CONCEPT PGMG LANG I (Prerequisites)	CompSci 141 CONCEPT PGMG LANG I (Prerequisites)	CompSci 141 CONCEPT PGMG LANG I (Prerequisites)	CompSci 141 CONCEPT PGMG LANG I (Prerequisites)	CompSci 141 CONCEPT PGMG LANG I (Prerequisites)	CompSci 141 CONCEPT PGMG LANG I (Prerequisites)	CompSci 141 CONCEPT PGMG LANG I (Prerequisites)	CompSci 141 CONCEPT PGMG LANG I (Prerequisites)	CompSci 141 CONCEPT PGMG LANG I (Prerequisites)	CompSci 141 CONCEPT PGMG LANG I (Prerequisites)	CompSci 141 CONCEPT PGMG LANG I (Prerequisites)	CompSci 141 CONCEPT PGMG LANG I (Prerequisites)	CompSci 141 CONCEPT PGMG LANG I (Prerequisites)	CompSci 141 CONCEPT PGMG LANG I (Prerequisites)	CompSci 141 CONCEPT PGMG LANG I (Prerequisites)
105	Code	Type	Sec	Units	Instructor	Time	Place	Final	Max	Enr	WL	Req	Nor	Rstr	Textbooks	Web	Status
106	34160	Lec	A	4	KLEFSTAD, R.	TuTh 8:00- 9:20	HIB 100	TBA	228	144 / 162	0	177	30	A	Bookstore		OPEN
